Elapsed time;qo;Qo
(hr);(m3/D);(m3)
2064;13,07492021;1316,787622
2067;13,07492021;1318,421987
2070;13,07492021;1320,056352
2073;13,07492021;1321,690717
2076;13,07492021;1323,325082
2079;13,06298536;1324,957956
2082;13,05508129;1326,589841
2085;13,05508129;1328,221726
2088;13,05508129;1329,853611
2091;13,05508129;1331,485496
2094;13,05508129;1333,117381
2097;13,05508129;1334,749267
2100;13,05508129;1336,381152
2103;13,04980516;1338,012377
2106;13,03553435;1339,641819
2109;13,03553435;1341,271261
2112;13,03553435;1342,900703
2115;13,03553435;1344,530145
2118;13,03553435;1346,159586
2121;13,03553435;1347,789028
2124;13,03553435;1349,41847
2127;13,03553435;1351,047912
2130;13,01746103;1352,675094
2133;13,01627165;1354,302128
2136;13,01627165;1355,929162
2139;13,01627165;1357,556196
2142;13,01627165;1359,18323
2145;13,01627165;1360,810264
2148;13,01627165;1362,437298
2151;13,01627165;1364,064332
2154;13,00475503;1365,689926
2157;12,99728575;1367,314587
2160;12,99728575;1368,939248
2163;12,99728575;1370,563909
2166;12,99728575;1372,188569
2169;12,99728575;1373,81323
2172;12,99728575;1375,437891
2175;12,99728575;1377,062551
2178;12,99214025;1378,686569
2181;12,9785695;1380,30889
2184;12,9785695;1381,931211
2187;12,9785695;1383,553533
2190;12,9785695;1385,175854
2193;12,9785695;1386,798175
2196;12,9785695;1388,420496
2199;12,9785695;1390,042817
2202;12,9785695;1391,665138
2205;12,96116316;1393,285284
2208;12,96011601;1394,905298
2211;12,96011601;1396,525313
2214;12,96011601;1398,145327
2217;12,96011601;1399,765342
2220;12,96011601;1401,385356
2223;12,96011601;1403,005371
2226;12,96011601;1404,625385
2229;12,94898671;1406,244009
2232;12,94191863;1407,861749
2235;12,94191863;1409,479488
2238;12,94191863;1411,097228
2241;12,94191863;1412,714968
2244;12,94191863;1414,332708
2247;12,94191863;1415,950448
2250;12,94191863;1417,568187
2253;12,93689468;1419,185299
2256;12,92397093;1420,800796
2259;12,92397093;1422,416292
2262;12,92397093;1424,031788
2265;12,92397093;1425,647285
2268;12,92397093;1427,262781
2271;12,92397093;1428,878278
2274;12,92397093;1430,493774
2277;12,92397093;1432,10927
2280;12,90718287;1433,722668
2283;12,90626676;1435,335951
2286;12,90626676;1436,949235
2289;12,90626676;1438,562518
2292;12,90626676;1440,175801
2295;12,90626676;1441,789085
2298;12,90626676;1443,402368
